driver_id,driver_profile,window_id,exposure_km,speeding_ratio,hard_braking_count,harsh_acceleration_count,night_event_ratio,bad_weather_event_ratio,phone_usage_count,hard_braking_count_per_100km,harsh_acceleration_count_per_100km,claim_count
D001,safe,0,3.2890457748726005,0.022057857423245272,0,0,0.06267010346495715,0.455148484025069,0,0.0,0.0,0
D001,safe,1,1.1514809544160924,0.026380166103875263,2,0,0.2431302785633087,0.11769786219504833,0,173.6893686630002,0.0,0
D001,safe,2,1.2517421058582585,0.02927153584985523,2,0,0.21205714600824876,0.21497308432592788,0,159.77732079474129,0.0,0
D001,safe,3,1.1150672882660742,0.0015238297074212993,0,0,0.05849121124249531,0.01839634704441062,0,0.0,0.0,0
D001,safe,4,2.586775951045279,0.11860882369549401,0,0,0.11581139878530747,0.28723172461748686,0,0.0,0.0,0
D001,safe,5,2.0294572078570914,0.03330570716813552,0,0,0.20994656630283898,0.3301374728951148,0,0.0,0.0,0
D001,safe,6,1.677627401576647,0.0686383859385048,0,1,0.09235124421213775,0.1181745286839585,0,0.0,59.607991563573194,0
D001,safe,7,1.984495307773109,0.17553750164146747,1,2,0.05369999567494607,0.07402205853572116,0,50.39064572655225,100.7812914531045,0
D001,safe,8,1.4807396008251519,0.11232366348849156,1,0,0.12767704977374067,0.2138880988784455,0,67.53381887286214,0.0,0
D001,safe,9,1.7953943216747525,0.08101575951725594,0,0,0.1368636757978185,0.09585999121186828,0,0.0,0.0,0
D001,safe,10,1.612520451928499,0.04696637935972505,0,0,0.039516219638603925,0.09820003763944618,1,0.0,0.0,0
D001,safe,11,2.455406390813198,0.010647782511448508,0,1,0.16492628719337052,0.051365337070103344,0,0.0,40.726455862518684,0
D001,safe,12,1.52702554264306,0.0969380674691374,2,0,0.1289717195874056,0.16594631895833892,0,130.97357864350388,0.0,0
D001,safe,13,1.5959568643211421,0.1933923133666339,0,1,0.012351184563283109,0.03840486294670445,0,0.0,62.65833509387242,0
D001,safe,14,1.6088251549523804,0.0425750544790573,0,1,0.0723669046861583,0.0807971973011616,0,0.0,62.1571584035556,0
D001,safe,15,1.6123235635699324,0.07410232281342882,2,1,0.028234132016111652,0.09312740557040568,0,124.0445804545393,62.02229022726965,0
D001,safe,16,1.4200710623861095,0.019683504870501287,0,1,0.017976187329729592,0.12607854429795853,0,0.0,70.41901116692888,0
D001,safe,17,1.813707498776026,0.038838974132170974,1,1,0.19292151186594164,0.11951785748129376,1,55.13568205870276,55.13568205870276,0
D001,safe,18,1.246690540830065,0.18599027946214225,0,1,0.026508842972316374,0.13514364468942427,0,0.0,80.21236764451467,0
D001,safe,19,2.389041038871786,0.0005243674279327568,0,0,0.08172898577981463,0.30174749591301775,0,0.0,0.0,0
D002,average,0,1.3569149045446764,0.12682889775694212,1,1,0.4198690283588117,0.16335615459167752,1,73.69658897921516,73.69658897921516,0
D002,average,1,1.4487776507429735,0.21423368763365014,1,1,0.07473246052451421,0.446429273035455,0,69.0237041886429,69.0237041886429,0
D002,average,2,2.258572060528531,0.24945530196846058,3,0,0.20566221159149745,0.21581743718951396,0,132.82728731258487,0.0,0
D002,average,3,2.283350581915552,0.11649819248887522,0,0,0.05854709802083127,0.18499775696727377,0,0.0,0.0,0
D002,average,4,2.1868322974193934,0.14999532431975163,0,1,0.23666979861566276,0.4696765841581145,0,0.0,45.728243596002585,0
D002,average,5,1.1959010894578765,0.6259920082900309,1,0,0.4839115565039172,0.40574507111521124,0,83.61895551523563,0.0,0
D002,average,6,2.0960193290319906,0.21454791472864299,2,2,0.12804419382987095,0.3041312014172276,0,95.41896738727426,95.41896738727426,0
D002,average,7,0.8547993514942636,0.0861376282487232,2,0,0.03226069295805919,0.40208197087213643,0,233.97303665519001,0.0,0
D002,average,8,1.5546112487328392,0.18084626841173523,0,2,0.2601505700164708,0.2553741235806626,1,0.0,128.6495258303448,0
D002,average,9,1.7257196698744062,0.13006717056622547,1,1,0.25050649131641006,0.37555816721803176,0,57.94683907571023,57.94683907571023,0
D002,average,10,1.2586061224879004,0.3778683477114341,0,3,0.07276583434886853,0.15019339746268584,1,0.0,238.35892312917304,0
D002,average,11,1.7406267434670994,0.07666645171931101,1,0,0.17629758121977895,0.34546862422295727,0,57.450570821871416,0.0,0
D002,average,12,1.5903506608994842,0.22578175655030758,3,1,0.21875424516330244,0.11862641064602482,1,188.6376428644507,62.87921428815022,1
D002,average,13,0.9714546123431884,0.1412192199102,2,2,0.04305265844550139,0.39802017901416253,0,205.87683403714743,205.87683403714743,0
D002,average,14,1.4611116921133236,0.30090152296634043,1,0,0.09730019847067388,0.40311914773193025,0,68.44103742360855,0.0,0
D002,average,15,1.6663629011757664,0.28553718491360724,4,2,0.10547078391634973,0.11256227003766653,0,240.04375020457104,120.02187510228552,1
D002,average,16,1.9849487254602196,0.19105558309819842,1,1,0.19378838633333587,0.34168819095571706,1,50.37913509670863,50.37913509670863,0
D002,average,17,1.6146451042189711,0.19120365011366708,2,1,0.18776970174907076,0.47466741762598413,0,123.86622885574789,61.933114427873946,0
D002,average,18,1.69939243974793,0.25376905878537426,0,3,0.08728470575539421,0.10060935450693703,0,0.0,176.53367932159261,0
D002,average,19,1.4449991977707957,0.1621003645848996,4,2,0.12938856906961924,0.36905517098455143,0,276.81676267854067,138.40838133927033,1
D003,average,0,1.5177691959725927,0.2576800461418059,0,1,0.13456492613754514,0.13253362974180674,1,0.0,65.88617048320023,0
D003,average,1,1.2817050723804082,0.17545254186838014,1,2,0.2318086184716267,0.30556727583119064,0,78.02106908594659,156.04213817189319,0
D003,average,2,1.158549739419703,0.02434715737395878,0,1,0.07282920799377016,0.2860562175636857,0,0.0,86.31480945314287,0
D003,average,3,2.6340074003246654,0.07676975045773572,1,1,0.1898113492247105,0.177137077444708,1,37.96496546960122,37.96496546960122,0
D003,average,4,1.773456962597594,0.055197286253744295,1,0,0.047020191900407904,0.4024934507100346,0,56.38704637835098,0.0,0
D003,average,5,2.4181560111200673,0.2827780514043287,0,1,0.1361081295741384,0.13704854948020398,0,0.0,41.35382479051917,0
D003,average,6,2.204603740666045,0.22955242949541063,1,1,0.12470015184320356,0.2943751679513701,0,45.35962547618124,45.35962547618124,0
D003,average,7,1.33012968844935,0.2334272636582274,0,1,0.10598455341052028,0.10751951712546488,0,0.0,75.18063905225576,0
D003,average,8,1.5546576715230693,0.010769807840382178,3,3,0.028213763449489587,0.11156105102898964,0,192.9685264448575,192.9685264448575,0
D003,average,9,1.1255427185941729,0.032244477124415666,1,0,0.1167862595267238,0.23041123502106908,0,88.84602809647436,0.0,0
D003,average,10,2.9610117844449904,0.2154308424520531,0,1,0.17951619531397459,0.23523245841831097,0,0.0,33.77223978821277,0
D003,average,11,1.8154338514504187,0.19593115711027906,2,0,0.19854288559494002,0.048414150275504,0,110.1665036378012,0.0,0
D003,average,12,2.479214827574043,0.30804331005523117,0,0,0.2922169281519232,0.3759619102383679,0,0.0,0.0,0
D003,average,13,2.063427715287816,0.07727812638759259,0,1,0.10302621938804866,0.16375202476913037,0,0.0,48.463049739569655,0
D003,average,14,1.076305802816297,0.273375606270227,0,2,0.018820872711051904,0.07144672260552508,1,0.0,185.8207950534815,0
D003,average,15,1.5144809356670323,0.1474118827104829,1,0,0.29596746322761514,0.32429130837236275,0,66.02922337609775,0.0,0
D003,average,16,1.197809905501063,0.3200747953011106,0,2,0.06748667889493529,0.16378430953440787,0,0.0,166.97140262530792,0
D003,average,17,0.6966122347143631,0.05045198858394924,1,0,0.07102549062552106,0.15063654328346995,0,143.55188585081876,0.0,0
